State,Airport,ICAO,Phone
SA,Adelaide,YPAD,(08) 8150 3800
SA,Adelaide/Parafield,YPPF,(08) 8150 3813
WA,Albany,YABA,(08) 6216 2600
NSW,Albury,YMAY,(02) 9353 6400
NT,Alice Springs,YBAS,(08) 7922 2500
QLD,Amberley,YAMB,(07) 3564 3700
WA,Argyle,YARG,(08) 6216 2601
NSW,Armidale,YARM,(02) 9353 6401
VIC,Avalon,YMAV,(03) 8470 3200
NT,Ayers Rock/Connellan (Yulara),YAYE,(08) 7922 2516
VIC,Bairnsdale,YBNS,(03) 8470 3201
VIC,Ballarat,YBLT,(03) 8470 3202
QLD,Ballera,YLLE,(07) 3564 3702
NSW,Ballina/Byron Gateway,YBNA,(02) 9353 6402
WA,Barrow Island,YBWX,(08) 6216 2602
NSW,Bathurst,YBTH,(02) 9353 6404
VIC,Bendigo,YBDG,(03) 8470 3203
QLD,Birdsville,YBDV,(07) 3564 3703
QLD,Blackall,YBCK,(07) 3564 3704
NT,Borroloola,YBRL,(08) 7922 2502
NSW,Bourke,YBKE,(02) 9353 6405
QLD,Brisbane,YBBN,(07) 3564 3705
QLD,Brisbane/Archerfield,YBAF,(07) 3564 3701
QLD,Brisbane West Wellcamp,YBWW,(07) 3564 3746
NSW,Broken Hill,YBHI,(02) 9353 6406
WA,Broome/INT,YBRM,(08) 6216 2603
QLD,Bundaberg,YBUD,(07) 3564 3706
QLD,Burketown,YBKT,(07) 3564 3707
WA,Busselton,YBLN,(08) 6216 2604
QLD,Cairns/Cairns INT,YBCS,(07) 3564 3708
NSW,Camden,YSCN,(02) 9353 6407
NSW,Canberra,YSCB,(02) 9353 6408
WA,Carnarvon,YCAR,(08) 6216 2605
NSW,Casino,YCAS,(02) 9353 6409
SA,Ceduna,YCDU,(08) 8150 3801
QLD,Century Mine,YCNY,(07) 3564 3709
NSW,Cessnock,YCNK,(02) 9353 6410
QLD,Charleville,YBCV,(07) 3564 3710
QLD,Chinchilla,YCCA,(07) 4662 7582
SA,Cleve,YCEE,(08) 8150 3802
QLD,Cloncurry,YCCY,(07) 3564 3711
NSW,Cobar,YCBA,(02) 9353 6411
WA,Cocos (Keeling) Islands,YPCC,(08) 6216 2607
NSW,Coffs Harbour,YCFS,(02) 9353 6412
VIC,Coldstream,YCEM,(03) 8470 3205
NSW,Condobolin,YCDO,(02) 9353 6413
SA,Coober Pedy,YCBP,(08) 8150 3803
QLD,Cooktown,YCKN,(07) 3564 3712
NSW,Cooma - Snowy Mountains,YCOM,(02) 9353 6414
NSW,Coonabarabran,YCBB,(02) 9353 6415
NSW,Coonamble,YCNM,(02) 9353 6416
NSW,Cowra,YCWR,(02) 9353 6417
SA,Cummins Town,YCMM,(08) 8150 3804
WA,Cunderdin,YCUN,(08) 6216 2608
WA,Curtin,YCIN,(08) 6216 2609
NT,Darwin,YPDN,(08) 7922 2503
NSW,Deniliquin,YDLQ,(02) 9353 6418
WA,Derby,YDBY,(08) 6216 2610
TAS,Devonport,YDPO,(03) 6283 8600
NSW,Dubbo,YSDU,(02) 9353 6419
VIC,East Sale,YMES,(03) 8470 3206
SA,Edinburgh,YPED,(08) 8150 3805
QLD,Emerald,YEML,(07) 3564 3714
SA,Ernabella (Pukatja),YERN,(08) 8150 3816
WA,Esperance,YESP,(08) 6216 2611
WA,Fitzroy Crossing,YFTZ,(08) 6216 2612
TAS,Flinders Island,YFLI,(03) 6283 8601
NSW,Forbes,YFBS,(02) 9353 6420
WA,Forrest,YFRT,(08) 6216 2613
WA,Geraldton,YGEL,(08) 6216 2615
WA,Gingin,YGIG,(08) 6216 2616
QLD,Gladstone,YGLA,(07) 3564 3715
NSW,Glen Innes,YGLI,(02) 9353 6421
QLD,Gold Coast,YBCG,(07) 3564 3713
NSW,Goulburn,YGLB,(02) 9353 6422
NT,Gove,YPGV,(08) 7922 2505
NSW,Grafton,YGFN,(02) 9353 6423
NSW,Griffith,YGTH,(02) 9353 6424
NT,Groote Eylandt,YGTE,(08) 7922 2506
NSW,Gunnedah,YGDH,(02) 9353 6425
WA,Halls Creek,YHLC,(08) 6216 2617
VIC,Hamilton,YHML,(03) 8470 3208
QLD,Hamilton Island,YBHM,(07) 3564 3716
NSW,Hay,YHAY,(02) 9353 6426
QLD,Hervey Bay,YHBA,(07) 3564 3717
TAS,Hobart,YMHB,(03) 6283 8602
NSW,Holsworthy,YSHW,(02) 9353 6427
NT,Hooker Creek (Lajamanu),YHOO,(08) 7922 2508
QLD,Horn Island,YHID,(07) 3564 3718
VIC,Horsham,YHSM,(03) 8470 3209
QLD,Hughenden,YHUG,(07) 3564 3719
NSW,Ivanhoe,YIVO,(02) 9353 6428
NT,Jabiru,YJAB,(08) 7922 2507
WA,Kalgoorlie-Boulder,YPKG,(08) 6216 2619
WA,Karratha,YPKA,(08) 6216 2620
NSW,Kempsey,YKMP,(02) 9353 6430
VIC,Kilmore Gap,KMG,(03) 8470 3210
TAS,King Island,YKII,(03) 6283 8603
QLD,Kingaroy,YKRY,(07) 3564 3720
SA,Kingscote/Kangaroo Island,YKSC,(08) 8150 3806
QLD,Kowanyama,YKOW,(07) 3564 3721
WA,Kununurra,YPKU,(08) 6216 2621
VIC,Latrobe Valley,YLTV,(03) 8470 3211
TAS,Launceston,YMLT,(03) 6283 8604
WA,Laverton,YLTN,(08) 6216 2622
WA,Learmonth,YPLM,(08) 6216 2623
SA,Leigh Creek,YLEC,(08) 8150 3807
WA,Leinster,YLST,(08) 6216 2624
WA,Leonora,YLEO,(08) 6216 2625
NSW,Lismore,YLIS,(02) 9353 6431
QLD,Lockhart River,YLHR,(07) 3564 3722
